,author,title,types,price,review,rate,year
61,Neil Gaiman,"Diary of a Wimpy Kid, Book 1",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","17,727",4.7 out of 5 stars,2009
62,Diana Gabaldon,The Graveyard Book,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.49</span></span>","7,795",4.7 out of 5 stars,2009
63,Robert Jordan,An Echo in the Bone (Outlander),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.15</span></span>","17,530",4.8 out of 5 stars,2009
64,Barack Obama,"The Gathering Storm (Wheel of Time, Book 12)",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$3.49</span></span>","7,024",4.8 out of 5 stars,2009
65,Michael Crichton,Dreams from My Father: A Story of Race and Inheritance,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.50</span></span>","7,692",4.7 out of 5 stars,2009
66,David Allen,Pirate Latitudes: A Novel,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.44</span></span>","2,974",4.3 out of 5 stars,2009
67,Dale Carnegie,The Official SAT Study Guide: For the New SAT (tm),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.99</span></span>",267,4.5 out of 5 stars,2009
68,Janet Evanovich,Getting Things Done: The Art of Stress-Free Productivity,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.16</span></span>","4,745",4.5 out of 5 stars,2009
69,Tatiana de Rosnay,How to Win Friends & Influence People,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$3.21</span></span>","83,383",4.7 out of 5 stars,2009
70,Charlaine Harris,The Official SAT Study Guide,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.79</span></span>","1,534",4.4 out of 5 stars,2009
71,Hilary Mantel,Finger Lickin' Fifteen (A Stephanie Plum Novel) (Stephanie Plum Novels),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.51</span></span>","3,547",4.6 out of 5 stars,2009
72,Suzanne Collins,Sarah's Key,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.65</span></span>","4,883",4.6 out of 5 stars,2009
73,Joe Torre,From Dead to Worse (Sookie Stackhouse/True Blood),Mass Market Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.99</span></span>","2,189",4.7 out of 5 stars,2009
74,Sapphire,Wolf Hall,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.21</span></span>","11,842",4.2 out of 5 stars,2009
75,David Kessler,The Hunger Games (Hunger Games),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.59</span></span>","44,102",4.7 out of 5 stars,2009
76,Barbara Kingsolver,The Yankee Years,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>",437,4.6 out of 5 stars,2009
77,Kerry Patterson,Push: A Novel,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","1,497",4.6 out of 5 stars,2009
